time,input,res
9,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
3,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
4,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
11,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
8,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
5,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
9,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
4,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
3,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
2,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
10,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
3,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
2,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
4,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
3,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
5,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
3,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
6,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
4,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
2,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
1,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
0,120,6.689502913449127E198
